image,n_cover_detections,yolo_available,hc_payload_bits,hc_capacity_bits,hc_capacity_bpp,hc_bits_used_frac,hc_guided_mse,hc_guided_psnr,hc_guided_ssim,hc_guided_obj_psnr,hc_guided_bg_psnr,hc_guided_secret_psnr,hc_guided_secret_nc,hc_guided_ber,hc_det_n_cover,hc_det_n_stego,hc_det_preservation_rate,hc_det_mean_iou,hc_det_mean_conf_delta,hc_det_map50,hc_baseline_mse,hc_baseline_psnr,hc_baseline_ssim,hc_baseline_obj_psnr,hc_baseline_bg_psnr,hc_baseline_secret_nc,hc_baseline_ber,hc_baseline_det_preservation_rate,hc_baseline_det_map50,hc_atk_jpeg_q90_ber,hc_atk_jpeg_q90_nc,hc_atk_jpeg_q75_ber,hc_atk_jpeg_q75_nc,hc_atk_jpeg_q50_ber,hc_atk_jpeg_q50_nc,hc_atk_gauss_noise5_ber,hc_atk_gauss_noise5_nc,hc_atk_blur_3x3_ber,hc_atk_blur_3x3_nc,hc_atk_median_3x3_ber,hc_atk_median_3x3_nc,hc_atk_saltpepper_1_ber,hc_atk_saltpepper_1_nc,hc_atk_rescale_50_ber,hc_atk_rescale_50_nc,rb_n_cover_detections,rb_yolo_available,rb_payload_bits,rb_capacity_bits,rb_capacity_bpp,rb_bits_used_frac,rb_guided_mse,rb_guided_psnr,rb_guided_ssim,rb_guided_obj_psnr,rb_guided_bg_psnr,rb_guided_secret_psnr,rb_guided_secret_nc,rb_guided_ber,rb_atk_jpeg_q90_ber,rb_atk_jpeg_q90_nc,rb_atk_jpeg_q75_ber,rb_atk_jpeg_q75_nc,rb_atk_jpeg_q50_ber,rb_atk_jpeg_q50_nc,rb_atk_gauss_noise5_ber,rb_atk_gauss_noise5_nc,rb_atk_blur_3x3_ber,rb_atk_blur_3x3_nc,rb_atk_median_3x3_ber,rb_atk_median_3x3_nc,rb_atk_saltpepper_1_ber,rb_atk_saltpepper_1_nc,rb_atk_rescale_50_ber,rb_atk_rescale_50_nc
000000000446.jpg,6,True,10472,12288,0.046875,0.8522135416666666,1.1781857808430989,47.41866583801023,0.9909248231238448,47.99142526464862,46.81158527836707,23.97056965750721,0.9767717942913144,0.0,6,5,0.8333333333333334,0.9889372913954384,0.038318139314651486,0.8333333333333334,1.1891517639160156,47.37843076455068,0.991485768616264,47.322502135904465,47.447324327399656,0.9767717942913144,0.0,1.0,1.0,0.20511841100076394,0.0,0.39906417112299464,0.0,0.4882543926661574,0.0,0.33565699006875477,0.0,0.11229946524064172,0.0,0.11000763941940413,0.0,0.17245989304812834,0.0,0.15784950343773874,0.0,6,True,888,1024,0.00390625,0.8671875,7.649923960367839,39.29423242545244,0.9634785535237861,39.74509796378145,38.803081749188834,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0011261261261261261,0.9560266062776356,0.00563063063063063,0.800055616729528,0.0011261261261261261,0.9570350034414444,0.01126126126126126,0.0,0.0259009009009009,0.0,0.30743243243243246,0.0,0.03265765765765766,0.0
000000000450.jpg,6,True,10472,12288,0.046875,0.8522135416666666,1.1968498229980469,47.350407009668906,0.995449790459626,47.37312777257874,46.6445410602234,23.97056965750721,0.9767717942913144,0.0,6,6,1.0,0.9750535698380164,0.010857264200846354,1.0,1.1978518168131511,47.34677264952181,0.9955899659144855,47.345399770762235,47.3934643191773,0.9767717942913144,0.0,1.0,1.0,0.20655080213903743,0.0,0.4065126050420168,0.0,0.4830022918258212,0.0,0.35313216195569136,0.0,0.10656990068754775,0.16132734253201472,0.13321237585943468,0.15684721195351886,0.2597402597402597,0.0,0.20206264323911383,0.03596152976270491,6,True,888,1024,0.00390625,0.8671875,8.156832377115885,39.0155882321952,0.983592886063283,39.02959411940706,38.56666006835923,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0011261261261261261,0.9567672246712944,0.0045045045045045045,0.9206503155177025,0.0,0.9575695531343444,0.0011261261261261261,0.9521493372885912,0.0033783783783783786,0.8950541828710981,0.05855855855855856,0.0,0.0011261261261261261,0.9521493372885912
000000000459.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.1722742716471355,47.440511274047374,0.9930801046717174,47.52899493406283,46.87527540291732,23.97056965750721,0.9767717942913144,0.0,2,2,1.0,0.9972372276231358,0.010108202695846558,1.0,1.1810353597005208,47.40817460466139,0.9930903745508068,47.411534047638035,47.38509139357824,0.9767717942913144,0.0,1.0,1.0,0.20254010695187166,0.0,0.4017379679144385,0.0,0.4680099312452254,0.0,0.35714285714285715,0.0,0.0985485103132162,0.11837929123798582,0.06646294881588999,0.0,0.22631779984721162,0.0,0.13607715813598167,0.0,2,True,888,1024,0.00390625,0.8671875,8.37728754679362,38.89976938198281,0.9746059405598898,38.976232344243286,38.40649557550348,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.009009009009009009,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0022522522522522522,0.8691558724779085,0.15990990990990991,-0.16468873153203537,0.0011261261261261261,0.9573132934400741
000000000471.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.1926066080729167,47.36583149484173,0.9931526934397826,48.99471378431781,46.65149825690544,20.761233371725165,0.9521154974428887,0.002291825821237586,1,1,1.0,0.996373512766713,0.0014673471450805664,1.0,1.2049509684244792,47.32110985804268,0.9934963655699706,47.367886578559606,47.29459523690793,0.954513615256136,0.001145912910618793,1.0,1.0,0.229755538579068,0.0,0.4070855614973262,0.0,0.4760313216195569,0.0,0.40613063407181055,0.0,0.0940603514132926,0.0,0.09453781512605042,-0.001207696154162579,0.18869365928189458,0.0,0.11812452253628725,0.0,1,True,888,1024,0.00390625,0.8671875,8.054428100585938,39.070456518143864,0.9784932080377065,40.65279020363471,38.37174807853613,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0045045045045045045,0.9235671496125922,0.0045045045045045045,0.8999435174138761,0.02364864864864865,0.6382379250468447,0.013513513513513514,0.6865143667938272,0.060810810810810814,0.3471068083658592,0.041666666666666664,0.6281456148251695
000000000472.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.2049204508463542,47.32121985242392,0.991554686769425,inf,47.26643654676085,23.97056965750721,0.9767717942913144,0.0,1,1,1.0,0.9982173156408134,0.008994340896606445,1.0,1.1964391072591145,47.351897607636786,0.9915794915841479,47.60022970740795,47.34883473995631,0.9767717942913144,0.0,1.0,1.0,0.2342436974789916,0.0,0.3836898395721925,0.0,0.46781894576012223,0.0,0.35943468296409475,0.0,0.014896867838044309,0.4735985953848768,0.01709320091673033,0.0,0.27310924369747897,0.0,0.025019098548510314,0.4431639914700342,1,True,888,1024,0.00390625,0.8671875,8.30218505859375,38.93887951142399,0.9749453528364072,inf,38.884096205760926,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.012387387387387387,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0,0.9575695531343444,0.018018018018018018,0.0,0.0,0.9575695531343444
000000000474.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.1730003356933594,47.43782224464442,0.9966971114201081,47.85092429715065,46.6952295072395,23.364771896342454,0.973245792398274,0.00019098548510313216,2,2,1.0,0.990489234965182,0.0687684416770935,1.0,1.168291727701823,47.45529059263142,0.9967245020909362,47.438799628794825,47.48937984671886,0.926009044608325,0.0003819709702062643,1.0,1.0,0.1816271963330787,0.0,0.400305576776165,0.0,0.4901642475171887,0.0,0.3635408708938121,0.0,0.16806722689075632,0.0,0.24427043544690605,0.0,0.26365546218487396,0.0,0.2371084797555386,0.0,2,True,888,1024,0.00390625,0.8671875,7.9498952229817705,39.12718956032913,0.988831652050357,39.45953903672156,38.51490546991671,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.006756756756756757,0.9319795352864311,0.0,0.9575695531343444,0.0011261261261261261,0.8775759647343638,0.01126126126126126,0.0,0.039414414414414414,0.0,0.0045045045045045045,0.8757471041354606
000000000486.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.1851666768391926,47.393009288836495,0.996061943589642,inf,47.21352524352846,20.95007053554187,0.9531514191167944,0.0006684491978609625,2,4,1.0,0.9492208591697647,0.001707121729850769,0.8333333333333333,1.183135986328125,47.400456967828354,0.9961871363025899,46.957475318974325,47.42017917211682,0.8254394147357268,0.0006684491978609625,1.0,1.0,0.21122994652406418,0.0,0.3963903743315508,0.0,0.49369747899159666,0.0,0.35943468296409475,0.0,0.2560160427807487,0.0,0.24675324675324675,0.0,0.24207410236822002,0.0,0.28934300993124523,0.0,2,True,888,1024,0.00390625,0.8671875,8.006103515625,39.09659159813526,0.9857086501162934,inf,38.91710755282724,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0011261261261261261,0.957817905884185,0.012387387387387387,0.0,0.0,0.9575695531343444,0.021396396396396396,0.0,0.02027027027027027,0.0,0.04617117117117117,0.0,0.041666666666666664,0.0
000000000488.jpg,7,True,10472,12288,0.046875,0.8522135416666666,1.2038586934407551,47.32504847584362,0.9956397243764462,60.57969446493695,46.69200849506325,23.97056965750721,0.9767717942913144,0.0,7,7,1.0,0.9881786047487736,0.011230613504137312,1.0,1.1989250183105469,47.34288338029483,0.9959186082361297,47.56277669940252,47.3077099438415,0.9767717942913144,0.0,1.0,1.0,0.20406799083269672,0.0,0.3924751718869366,0.0,0.4765087853323147,0.0,0.3759549274255157,0.0,0.12394957983193278,0.0,0.23242933537051183,0.0,0.22068372803666922,0.0,0.16797173414820474,0.0,7,True,888,1024,0.00390625,0.8671875,8.140385945638021,39.02435365058875,0.9866935667003242,48.94797136008165,38.425147901900225,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.007882882882882882,0.9272167242464818,0.0,0.9575695531343444,0.0011261261261261261,0.9138240638713518,0.009009009009009009,0.7622571987955656,0.024774774774774775,0.0,0.006756756756756757,0.9092745212188313
000000000490.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.2084032694498699,47.308684692400895,0.9889142888194101,60.107040313810415,46.708537954475005,23.97056965750721,0.9767717942913144,0.0,2,2,1.0,0.9617346053896864,0.019065245985984802,1.0,1.2173322041829426,47.27671249559932,0.9895874439371278,47.58322983026201,47.23066964792971,0.9751750224963275,9.549274255156608e-05,1.0,1.0,0.21390374331550802,0.0,0.3805385790679908,0.0,0.466768525592055,0.0,0.3947669977081742,0.0,0.07505729564553094,0.0,0.0864209320091673,0.0,0.22822765469824294,0.0,0.10704736440030557,0.0,2,True,888,1024,0.00390625,0.8671875,8.12802505493164,39.03095327197532,0.9580235771447109,48.51632381922751,38.466495051658626,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0011261261261261261,0.9570383207061857,0.0011261261261261261,0.9570383207061857,0.0,0.9575695531343444,0.009009009009009009,0.782183033345126,0.015765765765765764,0.7506458923955612,0.20157657657657657,0.0,0.018018018018018018,0.8649922992050183
000000000491.jpg,3,True,10472,12288,0.046875,0.8522135416666666,1.1658477783203125,47.46438511432195,0.9948431338270232,47.56791676515473,46.8190952052111,14.448312120967152,0.8140480461280213,0.005729564553093965,3,2,0.6666666666666666,0.95138101952133,0.03506892919540405,0.6666666666666666,1.171831766764323,47.44215093904507,0.9947620943327585,47.45214240879554,47.37481134050299,0.8681508721369586,0.004583651642475172,1.0,1.0,0.1906035141329259,0.0,0.38435828877005346,0.0,0.46963330786860197,0.0,0.39486249045072574,0.0,0.1143048128342246,0.0,0.13206646294881588,0.0,0.24980901451489687,0.0,0.1790488922841864,-0.00247019243318132,3,True,888,1024,0.00390625,0.8671875,7.996359507242839,39.10188049596174,0.9802811451728766,39.223310175880364,38.35555397181627,5.047057258356386,0.03637828200399015,0.0033783783783783786,0.006756756756756757,0.0505072267610671,0.006756756756756757,0.05107106269462909,0.015765765765765764,0.017957023880457675,0.024774774774774775,0.05390309964565081,0.013513513513513514,0.04990132755948485,0.006756756756756757,0.05161695934527522,0.08783783783783784,0.0,0.02252252252252252,0.048269619787270346
000000000502.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.2077013651529949,47.31120803652406,0.9985996593210059,50.14020992915748,46.59634716669718,23.97056965750721,0.9767717942913144,0.0,1,1,1.0,0.9965116228360043,0.03970250487327576,1.0,1.2121658325195312,47.29518322538051,0.9980362262690732,47.43176601453872,47.24521383685621,0.9767717942913144,0.0,1.0,1.0,0.1858288770053476,0.0,0.3977272727272727,0.0,0.48663101604278075,0.0,0.3725171886936593,0.0,0.32868601986249046,0.0,0.4229373567608862,0.0,0.28886554621848737,0.0,0.3932391138273491,0.0,1,True,888,1024,0.00390625,0.8671875,7.997322082519531,39.10135773810984,0.9952009791400528,41.559120870737026,38.45103318511687,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0022522522522522522,0.9572875927807852,0.0,0.9575695531343444,0.0,0.9575695531343444,0.033783783783783786,0.3918278253406814,0.028153153153153154,0.31959021225509765,0.0045045045045045045,0.9473793706275275
000000000508.jpg,0,True,10472,12288,0.046875,0.8522135416666666,1.1950302124023438,47.35701475739603,0.9925595578317941,,47.35701475739603,23.967901746092405,0.9767571775921339,9.549274255156608e-05,0,0,,,,,1.181048075358073,47.40812784644932,0.9935067061475452,,47.40812784644932,0.975387888732539,9.549274255156608e-05,,,0.20359052711993889,0.0,0.3862681436210848,0.0,0.474025974025974,0.0,0.3832123758594347,0.0,0.027692895339954164,0.8362062298811138,0.039629488158899925,0.710816887020314,0.2075057295645531,0.0,0.05949197860962567,0.0,0,True,888,1024,0.00390625,0.8671875,7.997006734212239,39.101528991347564,0.9759146031619789,,39.101528991347564,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0011261261261261261,0.9568320439170053,0.006756756756756757,0.8161783316359547,0.0045045045045045045,0.9486392112627557,0.012387387387387387,0.8854234688575933,0.15090090090090091,0.0,0.0033783783783783786,0.9486753932211137
000000000510.jpg,3,True,10472,12288,0.046875,0.8522135416666666,1.1823577880859375,47.40331444492896,0.9976980938007722,48.60321836587116,46.72368174730144,18.392050828854103,0.9164721234152187,0.001145912910618793,3,3,1.0,0.9933159968389255,0.00507625937461853,1.0,1.2024307250976562,47.330202958423826,0.9977079943188084,47.27872098960839,47.366697040784544,0.9591745245422763,0.001145912910618793,1.0,1.0,0.21800993124522536,0.0,0.4034568372803667,0.0,0.479755538579068,0.0,0.3805385790679908,0.0,0.3300229182582124,0.0,0.3097784568372804,0.0,0.2241214667685256,0.0,0.36105805958747134,0.0,3,True,888,1024,0.00390625,0.8671875,7.997108459472656,39.10147374762981,0.9926819617484103,40.072226677015436,38.53029734611046,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.00563063063063063,0.0,0.0033783783783783786,0.9158765811170179,0.11486486486486487,0.4056046658914981,0.12837837837837837,0.2631725465500481,0.05630630630630631,0.0,0.21846846846846846,0.16081614581623255
